date,temp high,temp low,DP avg,humidity avg,SLP avg,Rainfall
2012-05-24,33,28,27,80,1001,0.25
2012-05-25,33,28,27,80,1001,0.0
2012-05-26,33,28,27,78,1001,0.0
2012-05-27,33,29,27,78,1001,0.0
2012-05-28,31,28,26,80,1001,7.11
2012-05-29,33,26,26,79,1002,2.03
2012-05-30,33,27,26,81,1000,0.0
2012-05-31,33,24,26,78,999,58.93
2012-06-01,28,26,26,92,1000,30.99
2012-06-02,30,26,26,83,999,0.0
2012-06-03,32,24,26,80,998,1.02
2012-06-04,32,29,28,84,999,0.0
2012-06-05,30,24,24,85,1000,4.06
2012-06-06,31,23,25,83,1000,58.93
2012-06-07,33,27,26,80,999,0.0
2012-06-08,34,26,27,81,999,0.0
2012-06-09,33,29,27,82,999,2.0
2012-06-10,32,28,27,81,998,0.0
2012-06-11,32,27,27,81,999,0.0
2012-06-12,33,27,26,77,1001,0.0
2012-06-13,32,27,27,84,1002,0.0
2012-06-14,31,27,26,87,1002,23.11
2012-06-15,31,23,26,90,1001,17.02
2012-06-16,25,23,23,96,999,49.02
2012-06-17,31,24,25,83,998,1.02
2012-06-18,33,27,26,81,998,0.0
2012-06-19,33,27,26,83,995,3.05
2012-06-20,32,26,26,80,994,5.08
2012-06-21,32,26,26,83,997,4.06
2012-06-22,31,26,26,87,1001,11.94
2012-06-23,29,26,26,91,1000,80.01
2012-06-24,27,25,26,95,999,9.91
2012-06-25,28,25,24,85,1001,24.0
2012-06-26,26,24,24,98,1000,463.0
2012-06-27,30,25,24,85,1001,1.0
2012-06-28,32,24,26,84,999,0.0
2012-06-29,31,27,26,84,998,0.0
2012-06-30,31,27,26,84,997,1.0
2012-07-01,32,27,25,76,996,0.0
2012-07-02,30,27,25,81,999,0.0
2012-07-03,31,25,26,87,999,25.91
2012-07-04,33,25,26,86,999,1.02
2012-07-05,30,27,26,83,1000,2.03
2012-07-06,32,27,26,83,1000,0.0
2012-07-07,31,27,26,82,998,2.03
2012-07-08,31,26,25,82,999,0.51
2012-07-09,31,26,26,81,1001,0.0
2012-07-10,31,26,25,85,1004,5.08
2012-07-11,29,27,25,85,1004,5.08
2012-07-12,29,26,26,89,1003,7.87
2012-07-13,30,25,26,92,1002,0.0
2012-07-14,29,26,26,90,1001,2.03
2012-07-15,30,26,26,90,1003,0.0
2012-07-16,29,25,25,88,1004,8.89
2012-07-17,27,26,25,93,1003,3.05
2012-07-18,28,26,25,89,1000,3.05
2012-07-19,30,26,26,89,998,2.03
2012-07-20,32,26,25,80,999,1.02
2012-07-21,31,26,25,81,1002,1.02
2012-07-22,30,26,26,85,1002,0.0
2012-07-23,30,26,26,91,999,71.88
2012-07-24,29,25,26,92,999,8.89
2012-07-25,30,26,25,81,999,3.05
2012-07-26,30,26,26,88,999,2.03
2012-07-27,28,25,25,91,999,7.11
2012-07-28,28,26,23,87,1000,30.99
2012-07-29,28,25,25,93,1000,13.97
2012-07-30,28,25,25,91,1000,4.06
2012-07-31,28,25,25,91,999,2.03
2012-08-01,29,25,25,87,999,9.91
2012-08-02,31,25,26,86,998,0.0
2012-08-03,33,27,26,83,997,5.08
2012-08-04,32,27,26,81,998,2.03
2012-08-05,29,26,25,84,1000,0.0
2012-08-06,30,25,24,83,1002,0.0
2012-08-07,30,26,26,89,1002,0.25
2012-08-08,30,26,26,88,1001,1.0
2012-08-09,30,26,26,83,999,0.0
2012-08-10,31,26,25,81,1000,0.0
2012-08-11,31,25,25,85,1003,2.03
2012-08-12,26,25,24,92,1003,3.05
2012-08-13,29,25,25,91,1002,13.97
2012-08-14,30,25,26,89,1002,1.02
2012-08-15,30,27,26,86,1002,1.02
2012-08-16,32,26,26,82,1000,0.0
2012-08-17,32,26,26,82,1000,0.0
2012-08-18,32,26,26,81,1000,0.0
2012-08-19,31,26,26,86,1003,30.0
2012-08-20,29,26,26,91,1004,2.03
2012-08-21,31,26,26,85,1005,1.02
2012-08-22,32,27,26,82,1006,0.0
2012-08-23,32,25,26,83,1004,4.06
2012-08-24,32,27,26,82,1002,0.0
2012-08-25,32,27,27,85,1003,0.0
2012-08-26,32,27,26,83,1003,3.05
2012-08-27,32,26,26,83,1003,0.76
2012-08-28,32,26,26,85,1003,5.08
2012-08-29,32,26,26,85,1004,0.25
2012-08-30,32,26,26,81,1005,1.0
2012-08-31,31,26,26,80,1004,0.0
2012-09-01,31,27,26,83,1002,2.0
2012-09-02,32,26,26,82,1002,50.04
2012-09-03,31,26,26,84,1003,2.03
2012-09-04,29,24,24,87,1005,4.06
2012-09-05,30,25,25,84,1007,1.02
2012-09-06,31,25,26,86,1007,0.0
2012-09-07,33,26,27,83,1004,0.0
2012-09-08,31,26,27,87,1003,4.06
2012-09-09,30,26,26,84,1005,0.51
2012-09-10,31,27,25,80,1005,0.51
2012-09-11,29,25,26,90,1005,0.51
2012-09-12,30,26,26,91,1005,7.11
2012-09-13,29,26,26,90,1005,2.0
2012-09-14,31,26,26,85,1003,0.0
2012-09-15,31,26,26,81,1001,0.0
2012-09-16,32,26,26,81,1004,0.0
2012-09-17,32,27,26,82,1006,0.0
2012-09-18,31,26,26,83,1007,0.0
2012-09-19,31,26,26,81,1006,0.0
2012-09-20,31,26,26,83,1007,0.25
2012-09-21,31,26,26,80,1007,0.0
2012-09-22,31,26,26,82,1007,0.51
2012-09-23,31,26,26,84,1005,0.0
2012-09-24,31,26,27,85,1004,13.97
2012-09-25,33,26,26,86,1005,5.08
2012-09-26,33,26,26,85,1007,0.76
2012-09-27,33,26,26,80,1008,0.0
2012-09-28,33,27,27,84,1007,6.0
2012-09-29,32,26,26,82,1008,0.0
2012-09-30,29,27,26,89,1009,1.0
2012-10-01,32,26,26,84,1009,21.0
2012-10-02,31,25,25,90,1009,59.0
2012-10-03,27,25,25,94,1007,48.0
2012-10-04,31,25,25,92,1005,122.0
2012-10-05,26,24,24,96,1006,212.0
2012-10-06,31,25,25,83,1008,0.0
2012-10-07,33,26,26,81,1008,0.0
2012-10-08,33,25,25,83,1008,60.0
2012-10-09,32,25,25,82,1007,60.0
2012-10-10,29,25,25,89,1007,2.0
2012-10-11,27,25,24,93,1006,62.0
2012-10-12,30,24,25,87,1009,26.0
2012-10-13,30,25,25,85,1010,23.0
2012-10-14,31,25,25,83,1010,0.0
2012-10-15,30,25,25,85,1011,0.0
2012-10-16,31,25,26,84,1011,0.0
2012-10-17,32,26,26,83,1010,0.0
2012-10-18,32,26,26,82,1011,0.0
2012-10-19,33,26,26,83,1011,0.0
2012-10-20,32,25,26,82,1011,0.0
2012-10-21,32,25,25,79,1012,0.0
2012-10-22,33,25,24,78,1011,0.0
2012-10-23,32,24,24,82,1010,0.0
2012-10-24,31,24,23,74,1009,0.0
2012-10-25,31,23,21,70,1009,0.0
2012-10-26,31,21,19,68,1010,0.0
2012-10-27,29,20,19,69,1009,0.0
2012-10-28,30,21,22,73,1009,0.0
2012-10-29,32,23,23,76,1009,0.0
2012-10-30,32,24,24,81,1009,0.0
2012-10-31,32,23,25,81,1010,0.0
2012-11-01,31,25,24,79,1010,0.0
2012-11-02,31,25,24,78,1010,0.0
2012-11-03,28,24,23,83,1010,0.0
2012-11-04,27,23,22,84,1010,0.0
2012-11-05,29,22,23,80,1009,0.0
2012-11-06,31,25,24,82,1010,0.0
2012-11-07,28,23,24,89,1009,0.25
2012-11-08,28,23,23,83,1009,0.25
2012-11-09,29,23,19,66,1010,0.0
2012-11-10,28,19,17,63,1011,0.0
2012-11-11,27,20,19,77,1011,0.0
2012-11-12,27,19,18,71,1011,0.0
2012-11-13,28,20,17,68,1012,0.0
2012-11-14,28,19,18,70,1010,0.0
2012-11-15,28,18,19,75,1011,0.0
2012-11-16,29,22,22,82,1011,0.0
2012-11-17,31,22,23,81,1010,0.0
2012-11-18,31,24,23,79,1010,0.0
2012-11-19,32,23,23,77,1010,0.0
2012-11-20,30,23,24,85,1011,0.0
2012-11-21,29,24,23,80,1011,0.0
2012-11-22,29,21,17,58,1011,0.0
2012-11-23,27,17,15,63,1011,0.0
2012-11-24,27,19,15,61,1010,0.0
2012-11-25,27,16,15,65,1012,0.0
2012-11-26,27,16,15,66,1011,0.0
2012-11-27,27,15,13,61,1011,0.0
2012-11-28,26,16,14,63,1012,0.0
2012-11-29,27,16,16,76,1009,0.0
2012-11-30,27,15,17,75,1009,0.0
2012-12-01,28,17,17,71,1011,0.0
2012-12-02,27,17,16,68,1012,0.0
2012-12-03,27,16,17,76,1012,0.0
2012-12-04,26,17,18,75,1011,0.0
2012-12-05,27,16,17,75,1012,0.0
2012-12-06,26,15,17,75,1012,0.0
2012-12-07,26,15,16,71,1011,0.0
2012-12-08,26,15,16,72,1011,0.0
2012-12-09,25,16,17,78,1010,0.0
2012-12-10,27,14,17,84,1011,0.0
2012-12-11,27,16,17,78,1012,0.0
2012-12-12,25,17,17,81,1012,0.0
2012-12-13,26,16,18,80,1013,0.0
2012-12-14,28,18,18,73,1015,0.0
2012-12-15,27,17,18,71,1014,0.0
2012-12-16,26,17,16,64,1015,0.0
2012-12-17,25,15,17,72,1013,0.0
2012-12-18,25,18,16,71,1013,0.0
2012-12-19,23,15,17,87,1012,0.0
2012-12-20,24,14,15,76,1012,0.0
2012-12-21,24,14,13,67,1013,0.0
2012-12-22,23,12,13,67,1012,0.0
2012-12-23,22,13,14,83,1013,0.0
2012-12-24,24,13,16,81,1012,0.0
2012-12-25,19,13,15,91,1012,0.0
2012-12-26,21,14,13,75,1013,0.0
2012-12-27,21,12,13,78,1011,0.0
2012-12-28,20,12,13,85,1011,0.0
2012-12-29,29,10,12,87,1011,0.0
2012-12-30,22,11,12,73,1011,0.0
2012-12-31,23,12,12,68,1011,0.0
2013-01-01,23,12,13,68,1012,0.0
2013-01-02,24,12,13,73,1012,0.0
2013-01-03,25,14,15,80,1013,0.0
2013-01-04,27,14,15,75,1012,0.0
